Vertex 1,Vertex 2
1006,1061
101,689
1255,1765
532,1141
1425,1947
363,1369
905,1423
1612,1810
5,1395
839,1069
1630,1827
26,1454
1275,1370
1297,1883
1245,1464
142,848
450,735
1852,1876
1250,1313
315,510
738,1138
1727,1881
1625,1870
257,1508
192,561
625,1611
1475,1781
169,348
258,1854
72,644
214,993
310,1455
377,462
55,182
1063,1958
1137,1907
1576,1725
1087,1268
1078,1714
1460,1779
92,222
1188,1845
1680,1782
1000,1794
1757,1773
1003,1045
15,1170
261,408
1002,1840
1095,1802
1351,1728
1194,1781
669,876
352,1465
1028,1748
1000,1915
776,975
743,798
440,531
1193,1263
23,593
685,978
24,1232
1724,1838
780,986
1048,1969
585,747
880,1338
1141,1867
1163,1397
1691,1782
388,583
1047,1451
1575,1836
1272,1569
223,1418
350,1230
1098,1389
1122,1746
1575,1728
49,1009
1773,1972
1360,1803
392,594
273,902
1735,1865
508,1708
33,1186
547,1636
1006,1921
1257,1274
522,825
950,1760
1376,1639
1716,1973
1835,1924
1100,1475
377,851
251,483
1032,1048
851,1939
1182,1221
91,1662
1297,1467
1307,1926
768,1123
1242,1945
1410,1758
1165,1927
334,1770
19,446
313,435
566,615
865,1177
1123,1701
1054,1830
739,772
1016,1309
348,621
1695,1863
143,1155
1301,1478
55,1042
339,572
633,790
1042,1712
89,397
1083,1484
1671,1920
1635,1997
267,669
220,328
1128,1937
983,1024
1023,1591
1092,1196
1047,1948
775,1489
54,1729
508,1145
1142,1956
1387,1760
370,393
265,865
848,957
1326,1484
1771,1871
1339,1423
79,631
170,978
1332,1420
317,1442
425,450
1097,1782
130,798
37,341
816,1274
1053,1712
382,524
1168,1433
1555,1842
426,567
551,1730
952,1027
1203,1548
1418,1436
466,989
158,873
361,707
1886,1955
915,1266
433,1980
216,1228
1525,1683
1244,1670
310,597
1497,1621
184,229
1035,1267
1018,1623
1081,1154
1177,1616
12,122
1485,1503
370,1816
289,659
203,1410
1531,1619
13,761
113,470
1374,1672
1071,1863
250,704
1015,1739
139,607
797,1745
1559,1802
50,535
444,1886
48,1886
91,307
354,946
118,898
219,721
1566,1963
1432,1734
771,1463
1005,1401
2,723
84,533
1109,1458
1092,1814
99,1824
453,1827
726,939
230,1526
763,1989
121,307
250,946
189,441
240,901
1177,1979
1953,1971
1082,1863
516,1186
1371,1471
1744,1982
469,845
350,1419
1081,1409
1304,1417
1190,1581
1515,1866
173,739
1267,1764
1836,1921
1495,1628
93,221
1230,1882
511,734
1610,1874
348,447
229,1021
540,617
177,565
1309,1882
1171,1423
37,262
99,911
797,953
800,958
492,842
332,624
1178,1813
538,958
288,783
202,743
250,262
637,671
790,913
347,609
1340,1353
1671,1867
1014,1597
1225,1780
323,1154
211,684
323,925
230,734
629,968
1095,1670
491,509
2,52
374,1092
1050,1375
1864,1888
93,584
101,704
38,96
1051,1721
1801,1953
321,1616
1749,1763
1536,1655
1673,1889
188,979
637,805
535,794
858,1447
1083,1794
498,646
9,455
74,584
836,870
1481,1840
209,220
54,1100
1076,1791
257,705
1156,1491
189,241
340,410
283,1108
116,702
1303,1955
1463,1907
69,361
1113,1794
645,1460
423,1347
970,991
32,708
574,762
1076,1912
236,703
475,985
1464,1499
185,657
859,867
