Vertex ,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16
0,0.749816048,0.980285723,0.892797577,0.839463394,0.662407456,0.662397808,0.623233445,0.946470458,0.840446005,0.883229031,0.608233798,0.987963941,0.932977056,0.684935644,0.672729987,0.673361804
1,0.721696897,0.809902573,0.772778007,0.716491656,0.844741158,0.655797544,0.716857859,0.746544737,0.782427994,0.914070385,0.679869513,0.805693775,0.836965828,0.618580165,0.843017941,0.668209649
2,0.626020637,0.979554215,0.986252813,0.923358939,0.721845508,0.639068846,0.873693211,0.776060997,0.648815294,0.798070764,0.613755408,0.963728161,0.703511993,0.865008914,0.72468443,0.808027208
3,0.818684112,0.673941782,0.987833851,0.910053129,0.975799577,0.95793094,0.839159992,0.968749694,0.635397001,0.678393145,0.618090916,0.730132132,0.755470916,0.708539613,0.931495004,0.742701331
4,0.712373804,0.817078433,0.65636969,0.920878792,0.629820257,0.994754775,0.908897908,0.679486273,0.602208847,0.926184571,0.882742938,0.891602867,0.908508139,0.629617861,0.743386291,0.646347624
5,0.94524137,0.849319251,0.73235921,0.62542334,0.724392929,0.730073329,0.891842471,0.855022989,0.954885097,0.78888597,0.647837698,0.885297915,0.904314019,0.824510879,0.908386872,0.797518239
6,0.809093132,0.771016407,0.610167651,0.643156571,0.612571674,0.854564165,0.725742392,0.803428276,0.96302659,0.699716892,0.764153169,0.902220455,0.691519266,0.630791964,0.715900581,0.664488515
7,0.971879061,0.923248152,0.853361503,0.948584236,0.921468831,0.674628024,0.957023599,0.815736897,0.922976062,0.95843652,0.72720139,0.64402077,0.691174065,0.770843115,0.927205906,0.944292233
8,0.602780852,0.804298921,0.766964401,0.688843124,0.647946147,0.735046069,0.977163882,0.729281173,0.807516249,0.881207584,0.745451841,0.988712833,0.984978918,0.700712918,0.798899402,0.720351324
9,0.713936198,0.614754779,0.843825734,0.801071609,0.6205915,0.711458586,0.963306354,0.695824756,0.657957949,0.795781104,0.994260182,0.696822109,0.868854219,0.904647846,0.695055018,0.891286539
10,0.747113253,0.852922332,0.853411884,0.814309874,0.636115908,0.934120998,0.728312026,0.674607404,0.616310057,0.836357177,0.871025745,0.606635132,0.804837223,0.69059831,0.858069116,0.669746572
11,0.876375095,0.754694139,0.974691995,0.655008378,0.73642654,0.645389408,0.969877447,0.950935741,0.703176651,0.863993618,0.92688888,0.822080325,0.811860231,0.696740916,0.637241107,0.958886303
12,0.960167223,0.853240583,0.735611916,0.73968383,0.890382272,0.958844104,0.95483457,0.911950218,0.856812658,0.633655986,0.664651486,0.959421675,0.842571624,0.603678821,0.640588617,0.865400708
13,0.602024634,0.664323221,0.819493516,0.876758079,0.860784504,0.689707724,0.884871689,0.694899635,0.730159879,0.898596562,0.85985316,0.939689364,0.863045157,0.827323441,0.637469907,0.747086321
14,0.706080947,0.697595857,0.989204222,0.75723909,0.956818622,0.85245545,0.917924521,0.801054837,0.830761554,0.797007078,0.678097195,0.888980846,0.712308945,0.609726387,0.858188918,0.670844272
15,0.976183434,0.981571431,0.965945756,0.74806348,0.606182647,0.971327425,0.771273659,0.986661928,0.985447991,0.941203782,0.717779557,0.754039091,0.940454669,0.726768802,0.667797099,0.822720505
16,0.97446191,0.878411919,0.828024468,0.638870598,0.846002891,0.99602154,0.656033606,0.807331861,0.950949229,0.896307447,0.878806296,0.880993634,0.74379646,0.717436738,0.923744462,0.924045358
17,0.946828927,0.965296221,0.80453696,0.800606518,0.919318072,0.859985572,0.880786751,0.918317068,0.956002137,0.735198063,0.750233181,0.637592776,0.831312056,0.61437691,0.786239207,0.817057854
18,0.714616501,0.836333304,0.6122001,0.614939275,0.929040224,0.744076257,0.650824205,0.808897304,0.907997421,0.686328411,0.84915619,0.634138986,0.620672688,0.812541853,0.816254049,0.854971961
19,0.890436533,0.990340832,0.806520139,0.729182589,0.918074478,0.708332901,0.775588568,0.631382553,0.610140297,0.985059366,0.934392048,0.878389682,0.763581178,0.669317728,0.662574817,0.700097159
20,0.819690666,0.885838369,0.864078951,0.711973559,0.981946112,0.895158767,0.821741621,0.844688298,0.767840025,0.699092396,0.742389071,0.903138444,0.605757395,0.646429056,0.618401057,0.616291521
21,0.942184234,0.881463144,0.789669532,0.639133664,0.79664635,0.789388708,0.669280748,0.77354066,0.759401894,0.846340039,0.85403746,0.618121604,0.749845046,0.850343966,0.801254503,0.942595936
22,0.863477453,0.665173771,0.628227499,0.856967711,0.610604524,0.834310233,0.976092097,0.830189671,0.75526797,0.857315287,0.783301156,0.818246716,0.976585924,0.754441055,0.984476226,0.962140257
23,0.678316454,0.62774452,0.640311201,0.60728873,0.637777184,0.873202709,0.628475459,0.727590252,0.937950124,0.609308774,0.925787393,0.71274191,0.647265931,0.878694866,0.851577139,0.950988805
24,0.894028418,0.921392372,0.712813829,0.670975818,0.900245901,0.922733896,0.996202057,0.765047071,0.748807234,0.910565184,0.736321416,0.97230293,0.943365101,0.771597611,0.900348427,0.90181715
25,0.641249548,0.961021163,0.802100949,0.930582986,0.72801984,0.958209291,0.755680671,0.604335061,0.962152791,0.636514671,0.727725455,0.980024787,0.980242859,0.829375155,0.852734885,0.779378209
26,0.717284309,0.731465818,0.869007382,0.900949812,0.916631617,0.915847257,0.636482441,0.797768122,0.623023504,0.819811553,0.776612201,0.955081673,0.740366005,0.646826807,0.657196673,0.904604253
27,0.847287225,0.64044907,0.633642722,0.880387653,0.629105203,0.928744024,0.882496891,0.632539512,0.633935086,0.994655831,0.749708318,0.748256859,0.925119827,0.978899431,0.994400426,0.901351274
28,0.750503834,0.633400287,0.910858766,0.8233617,0.769688804,0.962541754,0.644478993,0.797050042,0.604541458,0.787464257,0.62252131,0.647527167,0.647010499,0.859684121,0.898417952,0.833347506
29,0.984869019,0.749948232,0.714284835,0.947439651,0.689438335,0.985289016,0.60486179,0.987951531,0.617263965,0.956457245,0.811080444,0.997185918,0.629518626,0.821541714,0.987721014,0.809239138
30,0.851759455,0.878299476,0.781816426,0.851023232,0.833725725,0.960463204,0.618178552,0.712385276,0.980164594,0.956105514,0.782262701,0.848053039,0.710952473,0.675248464,0.785479362,0.741340891
31,0.833462445,0.631093855,0.989757923,0.994484298,0.879264686,0.814438547,0.723811047,0.925518008,0.873892469,0.665046776,0.964370874,0.929014897,0.979919965,0.890287803,0.845366078,0.767297215
32,0.973091393,0.946425556,0.618087468,0.61054679,0.750585347,0.924221332,0.994910452,0.660166756,0.837652286,0.752356343,0.987965759,0.936847569,0.935331482,0.787477264,0.765927801,0.709362829
33,0.622550199,0.945888951,0.925160404,0.999887069,0.998654735,0.822172682,0.907594966,0.977906292,0.939858956,0.698939241,0.780217654,0.651663766,0.981620411,0.842469854,0.691457122,0.868680274
34,0.847251296,0.743265087,0.645423037,0.868629278,0.80812308,0.908927357,0.8080654,0.9408726,0.820762736,0.824375189,0.950661441,0.761393146,0.653606091,0.611513071,0.902054902,0.848123821
35,0.881631907,0.685185665,0.65454859,0.605817866,0.740235024,0.835967075,0.756897618,0.774989969,0.961663478,0.739302187,0.805595796,0.913461205,0.758617113,0.84883468,0.944945483,0.979808249
36,0.658829392,0.97063505,0.796846517,0.703297755,0.783654302,0.99201303,0.797047238,0.731500644,0.853360342,0.696058248,0.630345331,0.651551889,0.651218336,0.660761077,0.655530869,0.856349898
37,0.672752034,0.738266913,0.958715364,0.789584656,0.867023095,0.668927948,0.676915608,0.616347447,0.667574025,0.711436136,0.670804194,0.635481014,0.648254348,0.784311507,0.682533487,0.745707944
38,0.801366908,0.876157931,0.615724856,0.91976416,0.851160156,0.632703613,0.94943145,0.96834896,0.624431184,0.710751059,0.922480512,0.899303876,0.673808408,0.683739729,0.748188841,0.793809194
