age,gender,city,annual_income,product_category,purchase_amount,payment_method,is_returned
58,Female,Houston,44592,Clothing,19.85,Debit Card,TRUE
61,Male,San Jose,127080,Sports,1136.52,Credit Card,TRUE
23,Other,New York,58657,Beauty,145.47,Debit Card,FALSE
32,Male,Chicago,88878,Sports,531.03,PayPal,FALSE
27,Female,Los Angeles,58221,Electronics,557.8,UPI,TRUE
40,Female,New York,141082,Sports,503.77,Credit Card,FALSE
23,Other,San Jose,102357,Home,314.56,Debit Card,TRUE
20,Female,Los Angeles,116673,Clothing,283.91,Credit Card,FALSE
35,Female,Chicago,89429,Home,575,PayPal,TRUE
60,Other,Los Angeles,64993,Beauty,460.01,Debit Card,TRUE
28,Other,Dallas,90589,Clothing,354.99,PayPal,TRUE
32,Female,San Antonio,137715,Home,70.87,Credit Card,TRUE
54,Male,San Diego,144867,Sports,1048.19,UPI,TRUE
34,Other,Dallas,48301,Home,126.4,UPI,FALSE
41,Male,Dallas,58746,Sports,585.92,Credit Card,TRUE
25,Other,San Antonio,50033,Beauty,317.66,Credit Card,FALSE
42,Other,Phoenix,108104,Beauty,1076.93,Credit Card,TRUE
61,Female,Philadelphia,145970,Electronics,797.33,PayPal,FALSE
28,Other,Phoenix,89470,Beauty,20.74,Debit Card,TRUE
58,Other,San Jose,69117,Clothing,583.93,Debit Card,FALSE
28,Other,New York,100697,Beauty,961.08,PayPal,FALSE
19,Female,Houston,44662,Electronics,415.59,Debit Card,TRUE
23,Male,Dallas,125932,Clothing,624.96,Debit Card,FALSE
53,Other,San Antonio,51643,Clothing,144.47,Debit Card,FALSE
43,Female,Dallas,118039,Sports,775.38,Credit Card,TRUE
32,Other,Dallas,38392,Clothing,134.88,Debit Card,TRUE
22,Male,Los Angeles,122778,Electronics,783.91,PayPal,TRUE
50,Female,Houston,61195,Beauty,179.24,Debit Card,FALSE
33,Female,Houston,132841,Electronics,642.3,Credit Card,FALSE
40,Other,New York,85519,Electronics,361.64,Credit Card,FALSE
64,Male,Houston,74473,Clothing,599.2,Debit Card,FALSE
26,Female,Houston,85296,Electronics,170.44,UPI,TRUE
21,Male,Los Angeles,115477,Clothing,1153.96,Debit Card,FALSE
49,Female,New York,93092,Clothing,213.62,UPI,TRUE
42,Female,Phoenix,64760,Sports,600.96,UPI,TRUE
30,Male,San Jose,68890,Beauty,160.75,Credit Card,FALSE
21,Other,Dallas,36572,Clothing,216.69,Credit Card,TRUE
29,Other,Houston,38981,Sports,235.11,Credit Card,TRUE
55,Male,San Antonio,107924,Beauty,63.62,PayPal,FALSE
31,Male,Phoenix,117782,Sports,850.23,Debit Card,FALSE
47,Male,New York,71441,Sports,664.71,Credit Card,TRUE
52,Male,Philadelphia,57938,Electronics,298.83,Debit Card,FALSE
36,Other,Phoenix,50676,Beauty,227.75,Credit Card,FALSE
60,Male,Phoenix,43577,Electronics,409.69,Credit Card,TRUE
35,Other,Philadelphia,66930,Clothing,410.1,PayPal,FALSE
34,Male,Los Angeles,148664,Sports,1352.84,PayPal,TRUE
18,Other,Phoenix,73719,Clothing,571.84,UPI,FALSE
53,Other,Chicago,31267,Beauty,40.53,Credit Card,FALSE
55,Male,New York,102420,Home,169.13,PayPal,TRUE
40,Other,Los Angeles,57535,Home,396.09,UPI,TRUE
33,Male,San Antonio,143325,Electronics,256.91,Debit Card,FALSE
44,Other,Houston,135150,Home,914.3,Debit Card,TRUE
42,Female,Houston,144316,Clothing,83.63,UPI,FALSE
37,Male,Houston,137549,Electronics,1099.62,Debit Card,FALSE
39,Female,Philadelphia,66517,Beauty,576.75,UPI,FALSE
19,Female,Chicago,45118,Beauty,396.81,PayPal,TRUE
24,Other,Philadelphia,108193,Sports,482.4,Credit Card,FALSE
54,Other,San Antonio,54914,Electronics,148.06,Debit Card,FALSE
45,Female,San Jose,39171,Home,372.08,Credit Card,FALSE
50,Female,San Antonio,70538,Home,475.11,Debit Card,TRUE
44,Other,Chicago,117153,Beauty,1103.06,PayPal,FALSE
53,Female,Houston,139278,Sports,28.41,PayPal,FALSE
46,Other,San Diego,87954,Clothing,599.95,Credit Card,FALSE
50,Female,Los Angeles,117012,Clothing,749.21,PayPal,TRUE
30,Male,San Diego,49313,Beauty,21.67,Credit Card,FALSE
44,Male,San Antonio,146147,Sports,931.2,UPI,TRUE
27,Male,San Antonio,115990,Clothing,804.82,Debit Card,FALSE
21,Male,San Diego,103060,Clothing,272.3,UPI,FALSE
46,Other,San Antonio,110301,Beauty,903.04,UPI,TRUE
65,Female,Houston,142917,Home,693.41,UPI,TRUE
35,Female,Houston,87654,Home,84.09,PayPal,FALSE
52,Male,San Antonio,40561,Clothing,63.12,Debit Card,TRUE
44,Female,San Antonio,83424,Electronics,287.2,Debit Card,FALSE
42,Other,New York,148598,Beauty,1150.74,UPI,FALSE
18,Female,San Antonio,76105,Beauty,237.93,Debit Card,FALSE
32,Male,San Antonio,65774,Home,294.09,UPI,TRUE
47,Other,New York,46728,Sports,458.45,Credit Card,TRUE
59,Female,Chicago,86179,Electronics,131.84,PayPal,FALSE
38,Female,San Antonio,57742,Home,268.85,UPI,FALSE
