age,gender,city,annual_income,product_category,purchase_amount,payment_method,is_returned
19,Other,New York,127868,Clothing,749.7,Debit Card,False
51,Male,San Antonio,116357,Home,618.46,Debit Card,False
64,Male,Los Angeles,109905,Electronics,43.09,Credit Card,True
35,Other,San Antonio,82789,Home,506.25,UPI,True
49,Other,San Diego,92075,Clothing,26.81,PayPal,True
54,Male,New York,115148,Clothing,1052.71,UPI,False
57,Female,San Jose,45383,Electronics,74.05,PayPal,False
50,Female,Philadelphia,149822,Home,1090.44,Debit Card,True
31,Female,San Jose,84077,Clothing,135.72,UPI,True
61,Male,Philadelphia,53368,Clothing,200.99,PayPal,False
65,Male,San Jose,124094,Sports,451.7,Credit Card,True
65,Female,San Jose,139552,Electronics,812.44,Credit Card,True
62,Other,Chicago,108698,Clothing,113.35,Debit Card,False
53,Other,Los Angeles,124060,Beauty,234.18,Debit Card,False
52,Male,San Diego,84943,Sports,421.55,UPI,True
61,Female,Los Angeles,111333,Sports,493.42,Credit Card,False
54,Male,New York,78561,Home,940.13,Credit Card,False
57,Female,New York,63822,Clothing,313.61,PayPal,True
26,Female,Los Angeles,129301,Electronics,333.08,Debit Card,False
23,Female,Philadelphia,99268,Beauty,85.3,PayPal,False
48,Other,Chicago,145014,Electronics,941.43,UPI,False
65,Other,Chicago,74327,Electronics,319.19,PayPal,True
28,Male,Dallas,47951,Home,228.85,Debit Card,True
46,Female,Dallas,70392,Clothing,15.62,UPI,True
56,Female,San Diego,130239,Beauty,1295.14,Credit Card,True
57,Male,San Antonio,88937,Electronics,125.35,UPI,True
26,Other,New York,53248,Beauty,281.8,UPI,True
28,Female,Philadelphia,57571,Beauty,81.52,PayPal,False
57,Female,New York,59455,Clothing,357.22,UPI,True
56,Other,San Diego,71224,Sports,476.64,Credit Card,True
32,Male,Houston,73305,Clothing,75.28,PayPal,False
51,Male,Los Angeles,88992,Sports,718.92,Credit Card,True
33,Female,Philadelphia,30011,Beauty,119.87,UPI,True
41,Male,Dallas,104887,Sports,1031.68,Credit Card,True
46,Other,San Jose,59265,Home,173.4,PayPal,True
23,Male,Chicago,47564,Beauty,483.19,UPI,False
45,Male,San Diego,149822,Sports,142.93,UPI,True
41,Other,Chicago,52713,Clothing,365.78,PayPal,True
33,Female,Phoenix,34827,Sports,173.05,Debit Card,True
31,Other,Phoenix,145178,Sports,543.46,Debit Card,True
26,Female,Los Angeles,48855,Home,30.88,Debit Card,True
53,Male,Dallas,122186,Sports,879.12,Debit Card,False
65,Female,San Jose,90036,Electronics,487.59,UPI,False
65,Male,Los Angeles,81295,Clothing,260.99,Debit Card,False
25,Female,San Diego,101332,Beauty,558.93,PayPal,True
31,Other,Philadelphia,36103,Beauty,467.03,PayPal,True
57,Other,New York,38230,Home,179.65,Debit Card,True
48,Male,San Diego,30011,Sports,105.86,PayPal,False
21,Male,San Jose,77285,Sports,264.77,PayPal,True
41,Male,Philadelphia,119045,Clothing,34.51,PayPal,True
41,Other,Chicago,130197,Home,1135.02,UPI,True
21,Female,Dallas,134211,Sports,873.19,Credit Card,True
45,Male,Los Angeles,127736,Clothing,102.62,Credit Card,True
38,Female,Los Angeles,92625,Beauty,65.76,PayPal,False
48,Male,San Jose,68442,Clothing,436.48,Debit Card,False
39,Female,San Diego,72222,Clothing,109.52,Credit Card,False
26,Female,Houston,30011,Clothing,17.33,Credit Card,False
45,Female,Phoenix,121645,Beauty,1179.13,Debit Card,False
53,Other,San Diego,61747,Clothing,675.75,UPI,False
48,Female,Chicago,116312,Clothing,470.01,Credit Card,False
45,Female,Philadelphia,59914,Beauty,37.08,PayPal,False
56,Male,Chicago,66118,Clothing,147.84,PayPal,False
38,Female,San Diego,76379,Clothing,453.21,PayPal,False
47,Male,San Jose,93279,Electronics,643.7,Debit Card,False
41,Male,Chicago,91162,Home,514.21,UPI,True
55,Other,Los Angeles,39054,Beauty,40.44,Credit Card,True
38,Male,Los Angeles,109850,Home,1162.02,PayPal,True
29,Other,Chicago,37260,Sports,245.4,Debit Card,True
65,Male,Phoenix,114585,Electronics,117.88,UPI,True
56,Male,Houston,121348,Sports,588.72,PayPal,True
48,Male,Houston,70058,Home,15.52,Debit Card,True
26,Other,San Jose,125997,Clothing,158.82,UPI,True
57,Other,San Jose,128680,Electronics,1178.87,PayPal,True
59,Male,Los Angeles,138868,Sports,483.84,PayPal,True
33,Other,San Diego,96730,Beauty,65.23,UPI,False
42,Other,San Diego,98879,Electronics,471.75,Credit Card,False
21,Female,Phoenix,74004,Electronics,477.19,UPI,False
56,Male,Philadelphia,67749,Sports,76.15,Debit Card,True
36,Other,Los Angeles,52341,Home,229.85,Debit Card,True
46,Male,New York,115220,Home,1114.61,Credit Card,True
63,Other,San Jose,107434,Clothing,843.66,Debit Card,True
60,Female,Houston,36054,Home,38.96,UPI,False
42,Female,San Diego,149822,Beauty,965.15,Debit Card,True
23,Male,San Jose,124629,Electronics,114.46,Debit Card,False
26,Male,Dallas,30011,Clothing,194.42,PayPal,True
27,Male,Philadelphia,66484,Sports,112.96,PayPal,False
47,Other,Chicago,87848,Home,843.13,UPI,False
28,Other,San Jose,74476,Electronics,697.25,Credit Card,False
34,Other,Chicago,127035,Beauty,722.06,Credit Card,False
63,Male,Houston,83321,Sports,527.85,Debit Card,True
48,Male,Dallas,128470,Beauty,1409.9,Debit Card,False
52,Male,San Antonio,81906,Sports,345.06,Debit Card,True
50,Male,San Diego,126248,Sports,986.27,UPI,True
40,Other,San Diego,78989,Beauty,424.61,Credit Card,True
50,Female,Phoenix,145918,Clothing,1331.7,UPI,True
41,Female,Houston,43114,Clothing,150.01,PayPal,True
57,Other,New York,108041,Home,645.35,Credit Card,False
32,Female,Chicago,118994,Clothing,1090.54,PayPal,False
43,Female,Dallas,127411,Sports,884.35,Credit Card,True
53,Other,Chicago,119089,Electronics,352.89,PayPal,True
52,Other,San Diego,76571,Beauty,706.14,PayPal,False
49,Other,Phoenix,67928,Beauty,276.53,UPI,True
28,Male,Dallas,30011,Beauty,73.05,UPI,False
33,Female,New York,71139,Sports,418.73,PayPal,True
18,Female,Phoenix,107454,Electronics,502.02,Debit Card,False
40,Male,San Antonio,58998,Clothing,149.36,PayPal,True
38,Female,San Antonio,149604,Home,169.85,Debit Card,False
59,Male,Los Angeles,107148,Home,464.29,Credit Card,True
51,Female,Los Angeles,107414,Clothing,45.66,Debit Card,True
24,Female,Los Angeles,34571,Electronics,170.35,PayPal,True
27,Other,Phoenix,87369,Electronics,196.91,UPI,True
27,Male,Chicago,126934,Clothing,587.37,PayPal,True
33,Other,Los Angeles,79314,Sports,429.96,PayPal,False
55,Female,Los Angeles,91721,Clothing,328.47,Debit Card,True
57,Female,San Diego,126179,Clothing,1026.66,UPI,True
38,Female,New York,121879,Home,284.21,PayPal,False
50,Other,San Diego,34922,Electronics,125.93,UPI,True
22,Female,Los Angeles,72307,Home,99.13,Debit Card,True
48,Other,New York,65357,Home,293.09,PayPal,False
36,Female,San Jose,102751,Electronics,592.13,UPI,False
51,Other,San Jose,69054,Home,736.7,Debit Card,False
22,Female,Dallas,64126,Home,45.13,Debit Card,True
33,Male,Phoenix,45224,Sports,455.25,Credit Card,False
51,Male,Houston,121034,Home,558.21,Debit Card,True
32,Other,New York,41345,Sports,59.4,PayPal,True
65,Female,Los Angeles,99384,Beauty,549.78,Debit Card,True
65,Male,Houston,53195,Home,77.36,PayPal,True
50,Female,Philadelphia,61069,Clothing,96.99,Debit Card,False
57,Male,Dallas,100702,Home,876.14,PayPal,False
47,Male,San Antonio,143462,Clothing,253.74,PayPal,False
40,Other,San Antonio,120239,Clothing,83.23,Credit Card,True
50,Male,San Diego,117471,Clothing,383.9,Credit Card,False
42,Female,San Diego,97293,Beauty,856.21,Debit Card,True
54,Female,San Antonio,122116,Sports,1154.72,UPI,False
25,Other,San Diego,71571,Sports,342.21,UPI,True
21,Other,Chicago,33457,Beauty,266.8,UPI,False
44,Male,Phoenix,30011,Home,138.75,PayPal,True
18,Male,San Jose,85519,Sports,746.55,Credit Card,True
63,Male,Houston,122899,Sports,249.14,Debit Card,True
23,Female,Los Angeles,55657,Home,663.13,Credit Card,False
39,Other,San Jose,90270,Electronics,609.58,PayPal,True
52,Male,Los Angeles,114296,Electronics,97.58,Debit Card,True
35,Other,Los Angeles,31979,Electronics,59.6,Debit Card,True
28,Other,San Antonio,54723,Home,287.66,Credit Card,True
48,Other,Chicago,78457,Sports,565.53,Debit Card,False
35,Male,Los Angeles,138765,Clothing,684.37,Credit Card,False
48,Male,San Jose,145599,Sports,284.71,PayPal,True
24,Other,Los Angeles,133755,Electronics,875.2,PayPal,False
56,Female,Chicago,128128,Electronics,1013.66,Credit Card,False
42,Other,Phoenix,84446,Sports,493.9,UPI,False
37,Other,San Jose,73851,Electronics,702.09,Debit Card,False
18,Male,Phoenix,47274,Clothing,285.98,PayPal,False
65,Male,Dallas,42475,Sports,87.64,Credit Card,False
25,Female,Houston,130061,Home,696.62,PayPal,False
60,Male,Los Angeles,120059,Electronics,451.46,UPI,True
42,Female,San Antonio,135767,Electronics,226.79,UPI,False
33,Male,Phoenix,127299,Beauty,621.41,Credit Card,True
41,Other,Chicago,39804,Clothing,257.31,PayPal,True
22,Female,Phoenix,137752,Home,346.46,UPI,False
42,Female,Philadelphia,119195,Beauty,777.19,PayPal,False
24,Female,Phoenix,60742,Home,472.04,Credit Card,True
39,Other,Chicago,144570,Beauty,307.37,UPI,False
60,Other,New York,92421,Clothing,590.73,PayPal,False
62,Female,San Antonio,89214,Electronics,978.06,PayPal,False
47,Male,San Diego,88367,Beauty,321.99,PayPal,True
54,Female,New York,72082,Beauty,34.83,PayPal,False
46,Male,San Diego,118737,Sports,285.54,PayPal,True
37,Male,San Jose,52928,Sports,107.14,Debit Card,True
63,Female,Philadelphia,65962,Home,146.7,Debit Card,True
41,Female,San Antonio,120484,Beauty,771.52,Credit Card,True
64,Male,New York,113349,Home,159.95,PayPal,False
18,Other,Philadelphia,109217,Electronics,500.54,UPI,True
32,Male,Chicago,35695,Clothing,168.96,UPI,True
40,Other,San Antonio,88376,Clothing,151.42,Credit Card,True
19,Other,Chicago,130135,Electronics,1188.14,UPI,False
55,Female,Houston,126548,Clothing,699.33,Debit Card,False
43,Other,Chicago,62960,Sports,393.05,UPI,False
26,Male,Dallas,134285,Home,746.02,Credit Card,True
30,Other,San Jose,50279,Clothing,187.99,UPI,True
39,Male,San Diego,37821,Clothing,10.72,PayPal,True
39,Other,Houston,91993,Home,557.2,Debit Card,True
65,Other,San Jose,51465,Sports,141.67,Credit Card,False
50,Male,San Antonio,124761,Sports,873.39,Debit Card,False
54,Male,San Diego,124974,Sports,827.24,Credit Card,True
62,Other,San Jose,106579,Sports,515.75,Debit Card,True
45,Female,San Diego,149177,Clothing,1419.68,Credit Card,False
37,Other,New York,94096,Sports,459.48,Credit Card,False
54,Female,New York,78540,Sports,198.47,PayPal,False
47,Other,Dallas,97131,Clothing,609.5,Debit Card,True
18,Other,Los Angeles,75421,Sports,413.74,Credit Card,True
22,Other,San Antonio,68985,Clothing,438.29,PayPal,False
28,Female,Philadelphia,136735,Electronics,457.4,Debit Card,False
18,Other,Los Angeles,101105,Clothing,168.36,Credit Card,True
30,Other,New York,37942,Sports,18.11,UPI,False
45,Male,Los Angeles,56704,Beauty,269.23,Debit Card,True
51,Male,Houston,96653,Sports,143.49,PayPal,True
57,Female,Houston,109566,Beauty,314.25,UPI,True
54,Other,Houston,40126,Electronics,171.47,PayPal,False
43,Female,Philadelphia,120313,Clothing,536.99,Debit Card,True
55,Female,Dallas,123999,Beauty,833.09,Debit Card,False
31,Other,San Diego,88084,Clothing,163.1,UPI,True
56,Female,San Diego,86746,Sports,918.5,UPI,True
56,Male,Chicago,73063,Sports,470.93,UPI,True
48,Female,San Diego,88011,Beauty,1010.14,PayPal,True
41,Male,San Diego,65983,Home,178.04,Credit Card,True
41,Male,Chicago,77552,Electronics,332.33,Credit Card,True
43,Other,Los Angeles,79482,Home,314.93,PayPal,False
35,Male,Chicago,104358,Beauty,670.77,Credit Card,False
61,Male,Phoenix,118923,Home,225.36,UPI,True
31,Other,Houston,136744,Beauty,405.63,Credit Card,False
41,Male,San Jose,62036,Home,309.5,PayPal,False
35,Other,Phoenix,64517,Electronics,790.94,PayPal,False
18,Other,Philadelphia,38479,Electronics,119.07,Credit Card,False
36,Female,San Antonio,53514,Clothing,640.36,PayPal,False
61,Female,San Antonio,111577,Electronics,606.84,Debit Card,False
49,Female,San Antonio,127843,Beauty,367.4,UPI,False
34,Other,Houston,79644,Sports,88.28,UPI,False
55,Female,San Diego,115929,Home,1327.39,PayPal,True
65,Male,Dallas,138382,Clothing,528.46,UPI,False
21,Female,Philadelphia,35926,Clothing,32.16,PayPal,False
32,Female,Houston,43142,Beauty,150.42,Debit Card,True
57,Other,San Diego,114611,Home,350.11,UPI,False
52,Male,Phoenix,103096,Sports,688.05,PayPal,True
40,Other,San Antonio,149822,Home,1418.28,Credit Card,True
45,Female,New York,69254,Electronics,792.43,PayPal,False
39,Male,Houston,96717,Clothing,1362.54,Debit Card,False
53,Male,San Antonio,68535,Beauty,611.03,PayPal,True
64,Male,San Diego,41648,Beauty,291.73,Credit Card,True
55,Male,San Jose,90171,Clothing,212.44,Debit Card,False
37,Male,Philadelphia,107366,Sports,861.46,PayPal,True
