age,annual_income,purchase_amount,gender,city,product_category,payment_method,is_returned
39,67724,276.34,Other,Chicago,Electronics,PayPal,True
42,84293,344.22,Other,San Diego,Electronics,UPI,True
45,61097,247.27,Other,Houston,Clothing,Credit Card,False
43,71526,274.15,Female,Houston,Sports,Debit Card,False
39,104063,512.28,Other,Phoenix,Electronics,UPI,True
43,110748,615.13,Other,Los Angeles,Clothing,Credit Card,False
44,91280,402.76,Male,San Antonio,Home,PayPal,True
44,105449,567.5,Other,Phoenix,Clothing,PayPal,False
45,59559,229.48,Female,San Jose,Electronics,PayPal,False
36,120499,788.71,Male,Phoenix,Clothing,PayPal,False
47,112329,677.27,Female,San Jose,Beauty,Credit Card,False
44,69943,268.78,Male,Dallas,Home,Debit Card,False
29,48339,193.0,Male,Houston,Clothing,UPI,False
43,119915,805.44,Male,San Diego,Home,Credit Card,True
47,119053,704.66,Other,San Antonio,Clothing,Debit Card,True
51,73154,303.26,Male,Los Angeles,Electronics,PayPal,True
37,82988,349.62,Female,Chicago,Home,UPI,False
39,98173,439.36,Other,New York,Clothing,Credit Card,False
42,90436,392.12,Male,San Diego,Electronics,Debit Card,False
38,72671,279.65,Male,Philadelphia,Beauty,PayPal,True
52,111421,610.5,Female,San Antonio,Clothing,PayPal,False
47,114956,689.8,Other,New York,Clothing,Credit Card,True
43,106888,548.54,Male,San Diego,Sports,UPI,False
53,141327,1194.92,Other,Dallas,Sports,PayPal,False
42,108400,588.43,Other,San Jose,Electronics,UPI,False
22,72696,289.69,Male,San Diego,Clothing,UPI,True
37,121057,763.57,Other,Houston,Beauty,Debit Card,False
44,73254,273.76,Male,Philadelphia,Clothing,PayPal,True
39,102348,506.49,Other,Philadelphia,Home,Credit Card,True
43,102925,486.77,Male,San Diego,Home,Credit Card,True
33,62510,267.15,Other,Chicago,Sports,UPI,True
41,117112,743.24,Male,Dallas,Home,Credit Card,False
32,100829,502.6,Female,Phoenix,Home,Debit Card,True
28,66060,262.77,Male,Philadelphia,Home,Credit Card,True
34,64300,277.56,Female,San Jose,Beauty,Debit Card,True
45,105526,528.86,Other,San Antonio,Sports,PayPal,True
34,128208,959.64,Male,Los Angeles,Beauty,PayPal,True
38,109882,569.6,Other,San Jose,Electronics,PayPal,False
46,85725,364.67,Female,Philadelphia,Electronics,PayPal,True
47,97334,475.49,Female,Los Angeles,Beauty,Credit Card,False
41,56930,221.9,Other,Dallas,Beauty,Debit Card,False
45,89616,385.41,Male,Los Angeles,Electronics,Credit Card,True
44,83885,342.06,Female,Houston,Beauty,Debit Card,True
34,61653,234.27,Other,Houston,Electronics,Credit Card,True
45,82098,326.7,Male,Houston,Sports,PayPal,False
34,97844,458.27,Male,Los Angeles,Beauty,Credit Card,True
35,71521,293.56,Male,San Jose,Home,PayPal,False
41,102071,492.92,Male,Dallas,Clothing,UPI,True
46,114043,693.56,Other,San Jose,Sports,Credit Card,True
47,89134,381.81,Other,Houston,Home,PayPal,False
49,96889,445.55,Male,Chicago,Sports,Credit Card,False
38,62238,245.37,Male,Philadelphia,Clothing,Debit Card,True
43,108506,551.55,Other,Dallas,Beauty,Credit Card,False
36,75202,287.06,Other,Dallas,Beauty,PayPal,True
44,112533,656.11,Male,New York,Sports,Credit Card,False
46,63286,254.71,Male,Philadelphia,Electronics,UPI,True
52,81057,328.37,Other,Los Angeles,Sports,Credit Card,True
35,102056,489.7,Male,Dallas,Electronics,Debit Card,False
54,96509,432.02,Other,San Antonio,Home,Credit Card,False
48,87356,374.73,Other,Dallas,Sports,Debit Card,False
40,71665,284.6,Male,Philadelphia,Clothing,Credit Card,False
32,95933,427.22,Female,Chicago,Clothing,Debit Card,True
49,120865,800.68,Male,Dallas,Electronics,Credit Card,False
42,73583,296.86,Female,San Jose,Electronics,PayPal,False
52,99914,465.32,Other,Phoenix,Clothing,Debit Card,False
33,50320,216.26,Other,Dallas,Home,UPI,True
45,113685,647.29,Other,Dallas,Home,Debit Card,False
46,116917,726.65,Other,New York,Electronics,Debit Card,False
32,39106,185.59,Female,Los Angeles,Home,Credit Card,True
46,108907,551.36,Other,San Jose,Beauty,PayPal,False
39,122150,879.24,Female,Phoenix,Clothing,Credit Card,True
40,73774,287.46,Other,Los Angeles,Clothing,Credit Card,True
31,59887,239.89,Female,Houston,Sports,Credit Card,True
40,65923,259.92,Female,Los Angeles,Electronics,Debit Card,True
47,103044,503.19,Other,Dallas,Beauty,Credit Card,False
47,89554,375.2,Male,San Jose,Electronics,PayPal,False
48,98560,444.03,Female,New York,Beauty,UPI,True
41,70311,267.32,Female,Chicago,Sports,Debit Card,True
31,67589,252.25,Male,San Diego,Home,PayPal,False
43,95707,425.21,Male,Philadelphia,Clothing,UPI,False
36,62001,257.34,Female,Los Angeles,Electronics,UPI,False
46,109401,597.58,Male,New York,Beauty,Credit Card,True
35,67568,269.3,Female,Philadelphia,Clothing,PayPal,True
41,91404,392.85,Male,New York,Sports,Debit Card,False
40,84140,355.81,Male,Dallas,Sports,Debit Card,False
49,103201,474.92,Female,San Antonio,Sports,Credit Card,False
27,57090,230.8,Other,Los Angeles,Home,Credit Card,False
40,111242,634.29,Male,Phoenix,Sports,Credit Card,False
41,80129,343.13,Male,Philadelphia,Clothing,Debit Card,False
41,86065,358.86,Female,San Diego,Clothing,PayPal,True
38,89641,389.82,Female,Dallas,Home,UPI,False
35,83743,359.62,Other,San Antonio,Electronics,UPI,True
36,77372,315.41,Other,San Diego,Clothing,Debit Card,True
39,60018,254.95,Female,Philadelphia,Electronics,Debit Card,True
42,56840,250.77,Female,Dallas,Home,Debit Card,False
46,74522,300.69,Male,San Antonio,Sports,Debit Card,True
36,113211,673.11,Male,Houston,Clothing,Credit Card,False
34,103087,495.63,Other,Phoenix,Beauty,UPI,False
31,76315,333.92,Female,Los Angeles,Beauty,Debit Card,True
49,99978,449.57,Male,Philadelphia,Sports,PayPal,True
42,57530,212.76,Male,San Jose,Electronics,Credit Card,False
51,99197,455.01,Male,Chicago,Sports,Credit Card,True
52,93277,413.65,Female,Los Angeles,Beauty,Credit Card,True
34,90753,380.68,Other,Philadelphia,Clothing,UPI,False
40,60061,257.35,Other,New York,Beauty,Debit Card,True
37,109427,613.3,Male,New York,Clothing,UPI,False
43,77820,305.66,Other,Philadelphia,Clothing,PayPal,True
37,55418,232.26,Female,Dallas,Sports,Credit Card,True
48,127920,940.13,Male,San Antonio,Sports,Debit Card,False
50,111210,647.04,Female,San Jose,Electronics,UPI,True
37,77451,326.61,Female,New York,Beauty,Credit Card,True
35,94350,425.41,Male,Los Angeles,Clothing,Debit Card,True
33,65094,273.96,Other,San Jose,Home,UPI,False
44,113355,669.8,Male,Philadelphia,Sports,Credit Card,True
40,89362,378.13,Male,San Antonio,Clothing,UPI,True
46,79739,331.9,Other,San Antonio,Electronics,Credit Card,True
44,62606,271.43,Female,San Antonio,Clothing,Debit Card,True
53,119819,776.58,Other,Los Angeles,Sports,Debit Card,False
37,79949,318.86,Male,Dallas,Electronics,Debit Card,False
36,89930,384.02,Male,Phoenix,Home,PayPal,False
41,79394,322.93,Male,Dallas,Clothing,PayPal,False
50,62809,231.04,Male,New York,Clothing,Credit Card,True
26,46925,207.12,Female,San Diego,Beauty,Debit Card,True
41,65618,244.61,Other,Chicago,Clothing,Debit Card,True
48,69891,276.84,Male,Dallas,Clothing,PayPal,False
32,52814,236.3,Female,Dallas,Electronics,Debit Card,True
46,66798,261.12,Male,San Diego,Home,Debit Card,True
48,76267,292.26,Other,Los Angeles,Home,UPI,True
37,91237,391.08,Female,San Diego,Home,UPI,True
46,98413,460.88,Other,Philadelphia,Beauty,Credit Card,False
45,61290,235.34,Female,San Jose,Electronics,Credit Card,False
51,96521,453.79,Female,San Jose,Electronics,Debit Card,False
32,84436,364.19,Male,Dallas,Home,Debit Card,True
48,108646,510.32,Male,Dallas,Sports,Credit Card,True
46,119593,796.24,Female,Phoenix,Clothing,Credit Card,True
41,134378,1108.33,Female,Chicago,Home,Debit Card,False
38,46331,214.36,Male,Houston,Electronics,UPI,False
52,112982,674.51,Other,Dallas,Home,Debit Card,False
47,74860,287.78,Female,San Jose,Sports,UPI,False
48,135960,1166.27,Male,San Diego,Home,Debit Card,False
45,75384,315.05,Other,San Jose,Sports,Credit Card,True
46,90206,380.37,Female,Dallas,Clothing,PayPal,False
